	full_text	actual	predicted
0	@lcvelez Las elecciones deberían estar suspendidas hasta tanto no nos den garantías con un nuevo registrador. Colombia y aparece Nicaragua o Venezuela forzados a aceptar elecciones chambonas para beneficiar a @petrogustavo	negative	positive
2	"#COLOMBIA: Si vas a cubrir las elecciones necesitas un plan de comunicación. 

Alerta rápidamente a los demás si algo te ha sucedido y proporciona toda la información necesaria para poner en marcha una respuesta adecuada.  @ACOSalliance 

Encuéntralo aquí: https://t.co/b7OZvGdeDc https://t.co/420CLbD7Ur"	positive	negative
5	@RevistaSemana El tema es que quién lo dice, es el mayor delincuente de la historia de Colombia, ¿Cómo le van a robar elecciones al líder de la corrupción en Colombia?	negative	positive
10	"¿Qué es la Ley de Garantías y por qué la Corte Constitucional tumbó su reforma?
https://t.co/ONIELKP4wg https://t.co/0KuEhWcVlz"	positive	negative
11	Se han robado las elecciones del congreso !! @PGN_COL @CGR_Colombia @DELAESPRIELLAE  @FiscaliaCol y no va a pasar nada ???	negative	positive
12	¡Es indignante lo que ocurre en Colombia! Estamos ante un fraude electoral y nuestro registrador sigue en el cargo. #ElRiesgoEs no repetir las elecciones y tener un Congreso ilegítimo. https://t.co/lxMRgs9kPo	negative	positive
13	"A pocos días de las elecciones presidenciales
las Autodefensas Gaitanistas de Colombia se declaran en Paro Armado hasta el 9 de mayo. El claro desinterés social del Gobierno actual, evidenciado en la permisión de hostigamiento contra los Colombianos."	negative	positive
14	"Luis Pérez se caracteriza por tener un estilo de ropa colorida y a la medida. En este capítulo de #ElHilo le contamos qué comunica con las prendas que usa el candidato.
https://t.co/BQkQzsF1Mu

#Elecciones2022 #ColombiaDecide https://t.co/qSKzzQgQn2"	positive	negative
17	#ElRiesgoEs perder la senda de crecimiento por la que va Colombia después de elecciones. El FMI, el Banco de la República y el Banco Mundial proyectan que nuestra economía sea una de las que más crezca en la región este año. Hay que cuidar la inversión y la productividad del pais	positive	negative
18	"Señores. @PGN_COL

El país reclama elecciones transparentes en primera vuelta presidencial el 29 de mayo.

Opinión. @PGN_COL @CNE_COLOMBIA @moecolombia https://t.co/ceSkMa0f3W"	positive	negative
21	"Ese Petro me salió como muy tirado al centro para mi gusto. ????????????????????????
hagan su match presidencial Aquí!!!!

https://t.co/ZMNhI0Lvl3 https://t.co/5XSAZbZs92 https://t.co/CRRkJy51fu"	positive	negative
22	Amor por Colombia ni que nada, sólo por la familia acá porque del resto este país no se saca con amor ni patriotismo. Toca es irse para no ser un muerto más, empezó la época de elecciones y en la Costa ya iniciaron, me duele ??	negative	positive
25	@NTN24ve pobre colombia, tan ignorante como lo fue venezuela en diversas elecciones..	negative	positive
26	Que mierda que los favoritos a ganar las elecciones tengan todos escándalos de corrupcion XDD ay mi Colombia	negative	positive
27	"Colombia está siendo agitada sutilmente mientras se acercan las elecciones. ???? parece resistirle al comunismo, la izquierda sin el poder hace estragos, mientras algunos duermen otros no lo pueden hacer por la violencia. Da angustia ver notícias. 

¿Conmoción Interior?...."	negative	positive
29	"El candidato a la Presidencia favorito de #Colombia, #GustavoPetro anunció este viernes que retomará las relaciones diplomáticas con #Venezuela si gana las elecciones y por lo tanto reconocerá al legítimo gobierno del presidente #NicolásMaduro. 

#Nicaragua https://t.co/ZLhSABBjNj"	positive	negative
37	"@DanielPalam @MinInterior @INPEC_Colombia @DanielPalam para cuando #TodaLaContundenciaContraLaCriminalidad en la @Registraduria ?
Cree q las elecciones #M29 con el #registradorcorrupto Alex Vega y con las denuncias @NoticiasRCN de lo que pasó en Marzo 13, estas no se las va a robar? 
Contundencia esperamos con esto."	negative	positive
41	Ojalá las elecciones en Colombia también se desarrollen en Paz. Pero hay territorios donde la guerra civil continua y hay presencia de Carteles de droga. El Ejército de Colombia es el responsable de garantizar condiciones a votantes	negative	positive
44	@Margaritarosadf Nos llevó el putas, aunque aquí en Colombia también estamos en guerra y como seguramente Petro gana las elecciones vamos a estar peor y sobra decir por obra de quién	negative	positive
45	Sudamérica quiere cambios en paz; ojalá se respete la voluntad de los pueblos de la Patria Grande =&gt; Colombia | Petro anuncia que si gana restablecerá las relaciones diplomáticas y consulares con Venezuela - NODAL https://t.co/VGVSbMghEb	positive	negative
46	@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Las elecciones a @SenadoGovCo SE DEBER REPETIR…	positive	negative
56	@vechajol @fredyparada90 @petrogustavo @FicoGutierrez @Rodrigo_LaraS El régimen no permite a alguien diferente les quite el poder, en las elecciones pasadas le robaron las elecciones, pobre Colombia en manos de MATARIFE	negative	positive
57	"@MariaFdaCabal Fuera ""Indra"" de Colombia ???? ha participado en el desarrollo de elecciones en  Noruega, Francia, Eslovenia, Portugal, Italia, Estados Unidos, Argentina,Bolivia Angola,Argentina, Colombia entre otros, ofreciendo todo tipo de servicios electorales pero a favor de la izquierda ??"	negative	positive
62	Gastón Garriga: cómo multiplicar algunas ideas de CFK/Colombia avanza hacia elecciones con Petro amenazado/Interacción con oyentes.	positive	negative
66	"#Video ¿Cuántos votos necesitaron Duque y Petro para ir a segunda vuelta en 2018?

https://t.co/aS2FPlEMss https://t.co/QeJ0A1fnBe"	positive	negative
71	Senador da por sentado que se comete un flagrante  fraude en algo tan crítico para el futuro de Colombia como las elecciones del Congreso y no se puede hacer nada? Solo están ustedes para hablar legislar No deben dignificar, hacer respetar el Legislativo y defender la PatriaO NO? https://t.co/9beqop9fPU	negative	positive
72	@MonederoJC A @petrogustavo lo quieren asesinar porque será el ganador de las elecciones presidenciales en Colombia.	negative	positive
73	Paloma Valencia rechaza que la Registraduría y el CNE sean quienes contraten la auditoría en las elecciones https://t.co/AJDHCBt0X5	positive	negative
