	full_text	actual	predicted
1	@ozuismysenpai Pillá https://t.co/fnZFeKA3fz	positive	negative
8	Alertan que miles de jurados de votación están inhabilitados para estar en las elecciones a Presidente. La idoneidad de esos delincuentes no existe, toca inhabilitarlos y anular las mesas donde estuvieron y que se evidenció el fraude. ?@PGN_COL?  https://t.co/UcAISdFd05	negative	positive
10	"¡Viva Petro!
Colombia | Petro anuncia que si gana restablecerá las relaciones diplomáticas y consulares con Venezuela @InfoNodal https://t.co/VjYoQsWoY1"	positive	negative
13	@HELIODOPTERO @cataboc El propósito es que halla elecciones en una Colombia aterrorizada. No podemos caer nuevamente en la trampa, votemos bien. No podemos permitir que el innombrable siga gobernando. Nuestro país necesita un cambio urgente.	negative	positive
16	"Eso sabe   ;)
Adelante #PetroPresidente2022 
https://t.co/xscQ26b62m https://t.co/NIJNT0Sms7"	positive	negative
20	@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Deberían hacer traslados de los REGISTRADORES  REGIONALES LOCALES . Evitar que se queden en los mismos sitios de las elecciones para congreso y consulta.	positive	negative
23	Un abrazo fuerte @CamiloRomero en próximas elecciones espero que mi voto sea por Usted, desde el cielo  tu madre iluminará ese camino, y el de Colombia hoy.?? https://t.co/IiVUDKZpb0	positive	negative
24	"#Marbelle tendría pensado irse de Colombia si #GustavoPetro gana las elecciones presidenciales

#EsTrending  

https://t.co/ICfHo1us76"	positive	negative
25	La cuenta regresiva para las elecciones presidenciales de Colombia se encuentra en su recta final, y el candidato que cuenta de acuerdo a la encuestas con mayor intención de votos es Gustavo Petro #7May https://t.co/JVyQw3MCv7	positive	negative
26	"Rodolfo Hernández: “Fajardo como que ya pasó a la historia”. 
https://t.co/TNKkWRoArj

#Elecciones2022 #ColombiaDecide https://t.co/15lS8za2CK"	negative	positive
39	Elecciones en Colombia: el silencio que decidirá al ganador https://t.co/lHH5JFvDd9	positive	negative
41	"@GUSMALDONADOS @olgamariaruiza2 Peor aun, Tribunal niega medida cautelar de suspensión del Registrador considerando q en las elecciones de 13-M no hubo fraude...

Estamos llevaos del putas!!!

https://t.co/4TW1rz7IU5"	negative	positive
49	Se iniciaron los simulacros de las elecciones de presidente 2022 https://t.co/07SWb8GAT1  / @Registraduria	positive	negative
51	@montanertwiter Te pido que ores con todo tu corazón por el bien de Colombia, para que no nos caigamos en desgracia en las próximas elecciones. Gracias ????	positive	negative
54	Se nos robaran las elecciones en Colombia.	negative	positive
67	Rodolfo Hernández: “Fajardo como que ya pasó a la historia” https://t.co/46LHuywOBq	positive	negative
68	Colombia | Petro anuncia que si gana restablecerá las relaciones diplomáticas y consulares con Venezuela @InfoNodal https://t.co/voHsTypdi3	positive	negative
73	@tinagus2000 Evidentemente la persecución judicial, la aceleración de cosas, las trabas del @cnegobec para la inscripción , el viaje de la fiscal a Colombia y el papel de otras instituciones influyeron en la victoria de Lasso. Al otro candidato lo desgastaron, mucha antes de las elecciones.	positive	negative
76	"Y ustedes ¿Ya encontraron su #MatchPresidencial??Lo pueden hacer acá: https://t.co/0E1tZKypTK

¡Nos gustaría saber quién es su candidato ideal! 
Los leemos en los comentarios ?? https://t.co/H11SB9EsBV"	positive	negative
84	@_21jordig @petrogustavo @FranciaMarquezM @petrogustavo y @FranciaMarquezM presidente y vicepresidente de Colombia. Elecciones 2022.	positive	negative
89	@CARLOSFMEJIA @marwhite01 @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Exigimos se suspenda elecciones para primera vuelta, hasta no se esclarecer como ocurrió el MEGA-FRAUDE en las elecciones a senado y cámara donde 300.000 jurados,CNE y el registrador TIBISAY VEGA  le validaron por arte de magia 1.500.000 votos al PACTO DE LA PICOTA @petrogustavo	positive	negative
91	¡TOMA NOTA! La violencia del conflicto armado en Colombia resurge antes de las elecciones https://t.co/fPOo1FeIyz	negative	positive
94	Sí en Colombia no van a existir garantías para unas elecciones transparentes y democráticas pues general Zapateiro...salve usted la patria. ?????? https://t.co/3ssAR28dUj	positive	negative
95	"Señores. @PGN_COL

El país reclama elecciones transparentes en primera vuelta presidencial el 29 de mayo.

Opinión. @PGN_COL @CNE_COLOMBIA @moecolombia https://t.co/ceSkMa0f3W"	positive	negative
98	@ElDelMedallo @teffygiraldo06 Y va subiendo la tasa de asesinatos en Colombia, con el nuevo terrorismo pre elecciones. ¡NO SON BUENOS DÍAS!	negative	positive
103	Vengaaaan, yo quiero saber el match presidencial de algunos de ustedes, pues pa’ saber si sigo tragada o le echo tierra al asunto. Por ejemplo, ¿qué le habrá salido a…? Uy no, mejor no los tageo porque algunos son guilty pleasure. Pero muestreeeen https://t.co/0tyZdtw5pz	positive	negative
104	?????? y se les llena la boca diciendo ...lleno total. Así viven, de fantasías! #fico #FueraPetro #fueraextremaizquierda  #petro #Colombia #Elecciones https://t.co/La0TI0hmqg	negative	positive
111	A semanas de las elecciones en #Colombia ¿será que la ola progresista se extiende hacia el norte del sur? https://t.co/0r6fEbL6Ht	positive	negative
112	"@lauraro Yo vote por el NO y hoy siento que nos podría pasar lo mismo con las próximas elecciones si no actuamos unidos!!
Dejemos el odio irracional, aquí se trata es de salvar el presente y futuro de Colombia!
Quien más se une??"	positive	negative
113	O sea que el  miserable de Macías reconoce que en Colombia es Fácil robar elecciones. Bellaco.	negative	positive
116	??ALERTA COLOMBIA??Si de verdad quieres hacer parte de la historia y participar activamente en estas elecciones. VINCÚLATE Como TESTIGO ELECTORAL Contribuye a que los COMUNISTAS En Colombia y el mundo nos no vuelvan a cometer fraude electoral.Inscríbete vigílalos y no nos dejemos	positive	negative
125	"AMÉRICA LATINA
Golpe al uribismo y avance de la izquierda
a semanas de las elecciones en Colombia - 
https://t.co/DsJ3kKO3b6"	positive	negative
126	"En Colombia los amigos de @AlvaroUribeVel haciendo de las suyas!
Recuerden que hace falta 23 días para las elecciones y necesitan vender el cuento de la seguridad democrática a sangre y fuego. https://t.co/Zr9BgNQys8"	negative	positive
