	full_text	actual	predicted
13	"@jojojorge_ Aquí lo podés encontrar. 

https://t.co/GZQIklXmNZ"	positive	negative
21	"En los consulados de Colombia en el exterior se adelantan las pruebas de funcionalidad para las elecciones de presidente y vicepresidente de la república. En el país, la Registraduría Nacional alista los simulacros para los comicios del 29 de mayo.

#GarantesDeLaDemocracia https://t.co/7NOQaPod0z"	positive	negative
22	Se iniciaron los simulacros de las elecciones de presidente 2022 https://t.co/07SWb8GAT1  / @Registraduria	positive	negative
30	"??ESTE ES EL NÚMERO UNO EN LA @Registraduria CUMPLIENDO
CON LA “MISIÓN” y “VISIÓN”DE
NEGOCIAR RESULTADOS EN LAS
ELECCIONES DE COLOMBIA?? https://t.co/dpErXAOzS1 https://t.co/OvRAyhSRG8"	neutral	negative
31	"Ese Petro me salió como muy tirado al centro para mi gusto. ????????????????????????
hagan su match presidencial Aquí!!!!

https://t.co/ZMNhI0Lvl3 https://t.co/5XSAZbZs92 https://t.co/CRRkJy51fu"	positive	negative
43	"Esto está imparable!
 #ProgresistaSigueProgresista , #SúmateAlCambio , #YaLlegaElCambio .
Sigamos sumando y logremos transformar a Colombia con Petro y Francia! A ganar las elecciones en primera vuelta! Sígueme y te sigo!"	positive	negative
46	(Elecciones Colombia: ¿qué muestran las más recientes encuestas presidenciales?) publicado en https://t.co/XJ7xIbDAXM - https://t.co/kBmI6ABhaM https://t.co/Qp16PJZguR	neutral	negative
53	"#COLOMBIA: Si vas a cubrir las elecciones necesitas un plan de comunicación. 

Alerta rápidamente a los demás si algo te ha sucedido y proporciona toda la información necesaria para poner en marcha una respuesta adecuada.  @ACOSalliance 

Encuéntralo aquí: https://t.co/b7OZvGdeDc https://t.co/420CLbD7Ur"	positive	negative
55	"¿Se retirará un candidato presidencial? Esto respondieron los candidatos ante la pregunta de El Espectador en el debate organizado en Eafit, en Medellín. 
https://t.co/XTfCIWOp9Z"	positive	negative
63	“La Procuraduría General de Colombia descubrió que 2925 aspirantes a jurados de votación para las presidenciales del próximo 29 de mayo están inhabilitados para ejercer funciones públicas” https://t.co/2MCo0SBpog #Elecciones ???? por @gabrielamor	negative	neutral
74	"???? Te presentamos las propuestas #TIC de los candidatos presidenciales en #Colombia ????
https://t.co/C1jM1OxDRp"	positive	negative
77	Rodolfo Hernández: “Fajardo como que ya pasó a la historia” https://t.co/46LHuywOBq	neutral	negative
80	(Elecciones Colombia: ¿qué muestran las más recientes encuestas presidenciales?) publicado en https://t.co/XJ7xIbDAXM - https://t.co/kBmI6ABhaM https://t.co/nSvSYkakSV	neutral	negative
82	Con esto del paro armado y el miedo generado a la población, solo llego a la conclusión de para qué elecciones si ya sabemos quien gobierna a Colombia.	neutral	negative
85	Match presidencial: descubra su candidato ideal para las elecciones presidenciales en Colombia https://t.co/PTzW620XIz	positive	negative
86	"EL órgano de control evaluará los hechos para garantizar la idoneidad de los jurados de votación y lograr unas Elecciones Transparentes.??

https://t.co/jWAc4byuUL"	positive	negative
99	Advierten inhabilidades en jurados de votación elegidos para elecciones presidenciales  https://t.co/oUCjxiVqOi	neutral	negative
103	???? La calificadora de riesgos le mantuvo a #Colombia su calificación crediticia confiando en que su estabilidad macroeconómica se mantendrá una vez elija nuevo presidente: https://t.co/Ajf3jcFhdX	positive	negative
106	"AGUSTÍN LAJE HABLA SOBRE LAS ELECCIONES EN COLOMBIA.
""En primera vuelta voten por el mejor""
https://t.co/POHxAx6nVv"	neutral	negative
113	@ambar_ponte @DiegoFi27933574 @brisa7766433br1 @PGN_COL @moecolombia @CNE_COLOMBIA ADELANTE CON LA TUTELATÓN. QUIEN SE APUNTA??' ...ALLI GANAMOS, LOS BUENOS, QUE SOMOS MAS; FRENTE AL #PACTOVEGAPETRO PARA ROBARSE LAS ELECCIONES. SOMOS MAS UNIDOS https://t.co/KpcXgLOFOJ	positive	negative
117	"#EnVivo Match presidencial: descubra su candidato ideal para las elecciones presidenciales en Colombia
https://t.co/wR0HWCjnIQ https://t.co/Do4GVNQ6SO"	positive	negative
