	full_text	actual	predicted
2	"#COLOMBIA: Si vas a cubrir las elecciones necesitas un plan de comunicación. 

Alerta rápidamente a los demás si algo te ha sucedido y proporciona toda la información necesaria para poner en marcha una respuesta adecuada.  @ACOSalliance 

Encuéntralo aquí: https://t.co/b7OZvGdeDc https://t.co/420CLbD7Ur"	positive	negative
3	"#Política #Colombia | Uno de los vehículos portaba en su parabrisas un distintivo que lo identificaba como parte de la Alcaldía de Medellín.
https://t.co/LDYchqsr08"	positive	negative
6	"#ColombiaDecide | Petro sobre arremetida de Clan del Golfo: “Quien mataron en Sucre es militante del Pacto Histórico”. 

El candidato habló al respecto durante acto de campaña en Valledupar https://t.co/o16oE6dF2C"	negative	positive
10	"¿Qué es la Ley de Garantías y por qué la Corte Constitucional tumbó su reforma?
https://t.co/ONIELKP4wg https://t.co/0KuEhWcVlz"	positive	negative
14	"Luis Pérez se caracteriza por tener un estilo de ropa colorida y a la medida. En este capítulo de #ElHilo le contamos qué comunica con las prendas que usa el candidato.
https://t.co/BQkQzsF1Mu

#Elecciones2022 #ColombiaDecide https://t.co/qSKzzQgQn2"	positive	negative
17	#ElRiesgoEs perder la senda de crecimiento por la que va Colombia después de elecciones. El FMI, el Banco de la República y el Banco Mundial proyectan que nuestra economía sea una de las que más crezca en la región este año. Hay que cuidar la inversión y la productividad del pais	positive	negative
18	"Señores. @PGN_COL

El país reclama elecciones transparentes en primera vuelta presidencial el 29 de mayo.

Opinión. @PGN_COL @CNE_COLOMBIA @moecolombia https://t.co/ceSkMa0f3W"	positive	negative
20	"¿Quién es ese candidato que defiende sus mismas ideas? ??

¡Descubralo en nuestro #MatchPresidencial! Una herramienta que creamos junto a @cifrasyconcepto y @elespectador para que el próximo 29 de mayo salga a votar por su candidato ideal. 

https://t.co/x1nxEYCfD7 https://t.co/78W2DyWiKB"	positive	negative
21	"Ese Petro me salió como muy tirado al centro para mi gusto. ????????????????????????
hagan su match presidencial Aquí!!!!

https://t.co/ZMNhI0Lvl3 https://t.co/5XSAZbZs92 https://t.co/CRRkJy51fu"	positive	negative
29	"El candidato a la Presidencia favorito de #Colombia, #GustavoPetro anunció este viernes que retomará las relaciones diplomáticas con #Venezuela si gana las elecciones y por lo tanto reconocerá al legítimo gobierno del presidente #NicolásMaduro. 

#Nicaragua https://t.co/ZLhSABBjNj"	positive	negative
34	"#Elecciones2022
En Comité de Seguimiento Electoral de cara a las elecciones del 29 de mayo nuevas conclusiones y peticiones. @MagdalenaGober
@SantaMartaDTCH
@Registraduria
@CNE_COLOMBIA
??
“La Democracia es un compromiso de todos”: @rmontoyai  Infante https://t.co/f3XcwEB599"	positive	negative
41	Ojalá las elecciones en Colombia también se desarrollen en Paz. Pero hay territorios donde la guerra civil continua y hay presencia de Carteles de droga. El Ejército de Colombia es el responsable de garantizar condiciones a votantes	negative	positive
43	"???????Junto a más de 30 organizaciones y colectivas defensoras de derechos humanos convocamos al primer debate feminista de cara a las elecciones presidenciales de Colombia del 29 de mayo de 2022.

#EleccionesColombia2022 #HablemosDeLasElecciones2022 #EleccionesPresidenciales2022 https://t.co/B4sjlQ59aC"	positive	negative
46	@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Las elecciones a @SenadoGovCo SE DEBER REPETIR…	positive	negative
60	EN 'GESTOSO GLOBAL' LAS AMENAZAS DE MUERTE A GUSTAVO PETRO en la recta final rumbo a las Elecciones Presidenciales de Colombia con Angel Becassino Asesor de Campañas Políticas domingo desde Bogota 20:30hs por #AbyaYalaTelevision Los espero! https://t.co/YJp1qhZ2aY	positive	negative
62	Gastón Garriga: cómo multiplicar algunas ideas de CFK/Colombia avanza hacia elecciones con Petro amenazado/Interacción con oyentes.	positive	negative
66	"#Video ¿Cuántos votos necesitaron Duque y Petro para ir a segunda vuelta en 2018?

https://t.co/aS2FPlEMss https://t.co/QeJ0A1fnBe"	positive	negative
68	"@jojojorge_ Aquí lo podés encontrar. 

https://t.co/GZQIklXmNZ"	positive	negative
69	???? La calificadora de riesgos le mantuvo a #Colombia su calificación crediticia confiando en que su estabilidad macroeconómica se mantendrá una vez elija nuevo presidente: https://t.co/Ajf3jcFhdX	positive	negative
72	@MonederoJC A @petrogustavo lo quieren asesinar porque será el ganador de las elecciones presidenciales en Colombia.	negative	positive
73	Paloma Valencia rechaza que la Registraduría y el CNE sean quienes contraten la auditoría en las elecciones https://t.co/AJDHCBt0X5	positive	negative
74	"El candidato presidencial Rodolfo Hernández se refirió en Sigue La W sobre las alianzas políticas de cara a las elecciones.
https://t.co/DuBfISBrHx"	positive	negative
75	"#Video ¿Cuántos votos necesitaron Duque y Petro para ir a segunda vuelta en 2018?

https://t.co/OhVfQMi6TU https://t.co/NmDDU27LFL"	positive	negative
79	"??ESTE ES EL NÚMERO UNO EN LA @Registraduria CUMPLIENDO
CON LA “MISIÓN” y “VISIÓN”DE
NEGOCIAR RESULTADOS EN LAS
ELECCIONES DE COLOMBIA?? https://t.co/dpErXAOzS1 https://t.co/OvRAyhSRG8"	positive	negative
82	Me late que en estas elecciones las mujeres de Colombia somos las que vamos a poner Presidente ?????? #FicoPresidenteEnPrimeraVuelta https://t.co/Kb5EIULNlJ	positive	negative
84	@CCSILVA86 @jlreales @Lolita_Celedon @petrogustavo Quien llena, llena antes, durante o despues del festival, eso no es nuevo para la campaña de Petro quien vienes desde las elecciones pasadas llenando plazas en toda Colombia.	positive	negative
85	"EL órgano de control evaluará los hechos para garantizar la idoneidad de los jurados de votación y lograr unas Elecciones Transparentes.??

https://t.co/jWAc4byuUL"	positive	negative
87	@lafm tremendo informe de la posible corrupción en el fraude del pasado 13 de marzo a la Colombia humana le asignaron 24 mil jurados que si votaron 2 veces cada uno significaría el robo más grande en Colombia, y el registrador intento quitar la huella y la firma de las elecciones	positive	negative
93	#ColombiaDecide Candidatos presidenciales explican cómo combatirían la alta inflación en Colombia https://t.co/ah4JhNjfpf	positive	negative
94	"La minería es uno de los temas en la agenda de los candidatos a la Presidencia de la República de Colombia
https://t.co/S6fD8ufutt"	positive	negative
96	"Juntos lograremos un país de orden y oportunidades para todos????

 #FicoPresidente #MeIdentiFICO #Propuestas #Agro #PlanDeGobierno #Elecciones #Politica #Salud #Libertad #Democracia #Colombia"	positive	negative
99	Colombia no se merece otras elecciones con este registrador. https://t.co/rO1GcxxYzi	negative	positive
104	Sí en Colombia no van a existir garantías para unas elecciones transparentes y democráticas pues general Zapateiro...salve usted la patria. ?????? https://t.co/3ssAR28dUj	positive	negative
106	Mi foto según el Match Presidencial de @elespectador @cifrasyconcepto El candidato que me salió sí corresponde a mi posible voto. Si no lo han hecho les dejo el link. https://t.co/FA4Qjpwir0 https://t.co/bNziTOmBCr	positive	negative
117	@Nata_Salud @Sandrag69 @AndresMejiaV ¡Hola Natalia! Te invitamos a descubrir tu #MatchPresidencial aquí: https://t.co/0E1tZKypTK	positive	negative
122	"#VIDEO Rodolfo Hernández: ""Fajardo como que ya pasó a la historia"". https://t.co/pSC4N4Q5ZX https://t.co/3RaV9yqwaT"	positive	negative
128	https://t.co/FxFKHi951T. @IvanDuque no respeta la constitución ni la ley, esto favorece mas campaña de @petrogustavo.	positive	negative
130	"#Colombia El Tribunal Administrativo de Cundinamarca lanzó duros cuestionamientos al funcionario y dejó la decisión en manos de la Procuraduría.
https://t.co/p10xZKLDMk"	positive	negative
135	"Modelo de Tutela que busca dar ""Tranquilidad"" Para las Elecciones Presidenciales del #29Mayo 2022 en #Colombia 
https://t.co/Mg9cirfTIo"	positive	negative
136	Se me hace valioso compartir este párrafo en épocas de elecciones en Colombia. Si la educación va ser gratuíta, vale la pena cuestionarse ¿Qué tipo de educación? ¿Cómo se sostendrá? https://t.co/HVjEQfBgzY https://t.co/O1u3cygERQ	positive	negative
143	INFORME ESPECIAL Elecciones presidenciales de Colombia, todo lo que necesita saber - https://t.co/xX9R0XEAqP https://t.co/OyOd9bGUIK	positive	negative
147	Se nos robaran las elecciones en Colombia.	negative	positive
148	"La semana que pasó en Colombia estuvo marcada por la violencia. No es un momento cualquiera: faltan apenas tres semanas para las elecciones en las que Gustavo Petro puede consagrarse como presidente.

@Marco_Teruggi te lo cuenta en ??#CrisisEnElAire ??

https://t.co/HZK4j0f8St https://t.co/eAQZ5wsOHH"	negative	positive
151	"?? Nueva Encuesta para la opinión pública en General:

?? Quedan menos de 95 días para Celebrar las Elecciones Presidenciales en Colombia.
La pregunta del Día?

?? Quien Cree Usted que Gane las Elecciones Presidenciales de la República de ?????

Vota y Reetwitea."	positive	negative
157	@DianiSierraG @RHpresidente @ingrodolfohdez Se acercan las elecciones del 29 y cada vez nos convencemos más que el mejor candidato para manejar las riendas de Colombia es el Ing. RODOLFO HERNANDEZ https://t.co/GxDWZ8zITM	positive	negative
159	Procuraduría alerta que 2.925 jurados de votación están inhabilitados para elecciones Colombia via @ElColombiano https://t.co/lCdwAtuKoM	negative	positive
163	"""Lo que está viviendo Latinoamérica, cortesías de los procesos del Foro de Sao Paulo, se va poniendo realmente delicado. Hay que estar pendiente de lo que sucede en Chile y Perú, previo a las elecciones de Colombia."" @Noelleal"	positive	negative
165	Un abrazo fuerte @CamiloRomero en próximas elecciones espero que mi voto sea por Usted, desde el cielo  tu madre iluminará ese camino, y el de Colombia hoy.?? https://t.co/IiVUDKZpb0	positive	negative
167	@PGN_COL S.O.S. Colombia no podemos permitir que nos roben las elecciones. Viva @PalomaValenciaL gran patriota https://t.co/N9ro2Fy5fF	positive	negative
171	"Petro promete reanudar relaciones diplomáticas con Maduro si gana elecciones en Colombia
#TalCual #ClaroyRaspao #AmigosDeNuevo 
https://t.co/Kpm7VZydwZ https://t.co/FiJfeEuXCa"	positive	negative
172	Como ustedes construyen escenarios y en dicen que en bolsa no se compra el pasado sino las expectativas futuras, me imagino que tenían en la baraja a USA titubeando 20 días antes de elecciones en Colombia.	positive	negative
175	"La diferencia entre las elecciones de Venezuela 1999 y Colombia 2022, es que en Colombia ya ""vimos el futuro"".

En el momento en que el socialismo llegue al poder, el empresario se va del país.

El empobrecimiento del país será a mayores velocidades."	negative	positive
180	@MariaFdaCabal y para distraer de las elecciones dónde Colombia eligió ya Presidente 2022-2026 @FicoGutierrez https://t.co/3fcppGX1EY	positive	negative
182	"#ColombiaMiElección Bajo el lema: “¡Liberemos a Colombia de las maquinarias y la corrupción!”, la aspirante a la presidencia, Ingrid Betancourt, presentó las líneas estratégicas del plan de gobierno.

https://t.co/j8H8rcwrmW"	positive	negative
193	Episodio 8 - En este nuevo episodio Alicia Eugenia Silva nos plantea una reflexión,  en estas elecciones ¿el país sigue polarizado? o ¿nace un nuevo bipartidismo en Colombia? https://t.co/HYnK26DpNn via @YouTube	positive	negative
199	"Hice el ejercicio de la Match Presidencial del @elespectador.

Me gustó. Creo que me define ideológicamente. Lo más importante es que me deja claro por quien no debo votar.

Aquí les dejo el enlace para que hagan el ejercicio. 

https://t.co/jHXsHZWoDO https://t.co/nJsUylMydh"	positive	negative
202	"Uds. ya hicieron su match presidencial ? 

Me sorprende la similitud de propuestas y la identidad complementaria que se establece entre un candidato y otro. 

| EL ESPECTADOR https://t.co/XdpMkeDnRM"	positive	negative
206	"@CARLOSFMEJIA @infopresidencia @PGN_COL @FiscaliaCol @CNE_COLOMBIA Así es.
Es lo correcto.
Hacer bien las elecciones.
Esa es democracia."	positive	negative
208	(Elecciones Colombia: ¿qué muestran las más recientes encuestas presidenciales?) publicado en https://t.co/XJ7xIbDAXM - https://t.co/kBmI6ABhaM https://t.co/iDU3rbQpNu	positive	negative
210	@CARLOSFMEJIA @infopresidencia @FiscaliaCol @PGN_COL @CNE_COLOMBIA Deberían hacer traslados de los REGISTRADORES  REGIONALES LOCALES . Evitar que se queden en los mismos sitios de las elecciones para congreso y consulta.	positive	negative
211	"???? Te presentamos las propuestas #TIC de los candidatos presidenciales en #Colombia ????
https://t.co/C1jM1OxDRp"	positive	negative
212	La cuenta regresiva para las elecciones presidenciales de Colombia se encuentra en su recta final, y el candidato que cuenta de acuerdo a la encuestas con mayor intención de votos es Gustavo Petro #7May https://t.co/JVyQw3MCv7	positive	negative
215	"¿Qué comunica Luis Pérez con su forma de vestir? En este nuevo capítulo de #ElHiloEE le contamos.
https://t.co/BQkQzsnqUW

#Elecciones2022 #ColombiaDecide https://t.co/wN9s5TcbbW"	positive	negative
220	A semanas de las elecciones en #Colombia ¿será que la ola progresista se extiende hacia el norte del sur? https://t.co/0r6fEbL6Ht	positive	negative
226	"Rodolfo Hernández: “Fajardo como que ya pasó a la historia”. 
https://t.co/TNKkWRoArj

#Elecciones2022 #ColombiaDecide https://t.co/15lS8za2CK"	negative	positive
230	No encontraron otra alternativa que llenar de miedo a Colombia, utilizan sus paramilitares para ganar elecciones. Es ahora o nunca @petrogustavo	positive	negative
232	"?? El proceso de paz entendido cómo una estructura de oportunidad, para poner fin al conflicto y escuchar a sectores sociales excluidos. ?? #CienDías N. 104 ?? https://t.co/d2YUoyQ8k6

?? @JEP_Colombia https://t.co/igChGJnaFX"	positive	negative
233	"@Oscarkast13 @palana61 Será que Colombia está a punto de vivir en carne propia lo sucedido en las elecciones de los Estados Unidos? 
Que guarden este trino también. 
??????
??????"	positive	negative
235	"Qué buena esta herramienta de @elespectador para encontrar el candidato afín a la visión de país que uno quiere. #Recomendada ?
Útil y pedagógica. 
#MatchPresidencial 
https://t.co/mIcCgFHjXy"	positive	negative
241	"Esto está imparable!
 #ProgresistaSigueProgresista , #SúmateAlCambio , #YaLlegaElCambio .
Sigamos sumando y logremos transformar a Colombia con Petro y Francia! A ganar las elecciones en primera vuelta! Sígueme y te sigo!"	positive	negative
246	"NOTICIA COLOMBIA ??
El Tribunal Administrativo de Cundinamarca niega la medida cautelar que pretendía suspender al registrador nacional Alexander Vega, previo a las elecciones presidenciales. Dice el Tribunal que esa decisión es competencia de la Procuraduría General de la Nación https://t.co/0b0KUTnirC"	positive	negative
